1	@VirginAmerica What @dhepbu said.
2	@VirginAmerica plus you've added commercials to the experience... tacky.
1	@VirginAmerica I didn't today... Must mean I need to take another trip!
0	"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces & they have little recourse"
0	@VirginAmerica and it's a really big bad thing about it
0	@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. It's really the only bad thing about flying VA
2	@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)
1	@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP
2	@virginamerica Well, I didn't…but NOW I DO! :-D
2	@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.
1	@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
2	@VirginAmerica I >3 pretty graphics. so much better than minimal iconography. :D
2	@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia & I haven't even gone on my 1st trip yet! ;p
2	@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
2	@VirginAmerica Thanks!
0	@VirginAmerica SFO-PDX schedule is still MIA.
2	@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
0	@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
2	I ❤️ flying @VirginAmerica. ☺️👍
2	@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
0	@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
2	@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
2	@VirginAmerica I love the hipster innovation. You are a feel good brand.
1	@VirginAmerica will you be making BOS>LAS non stop permanently anytime soon?
0	@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free inteet
0	@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
0	@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
1	@VirginAmerica do you miss me? Don't worry we'll be together very soon.
0	@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
1	@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
0	@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢
1	@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
0	@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&F number at LAX!
0	@VirginAmerica awaiting my retu phone call, just would prefer to use your online self-service option :(
2	@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
1	Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
2	@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
2	@VirginAmerica @freddieawards Done and done! Best airline around, hands down!
1	@VirginAmerica when can I book my flight to Hawaii??
0	@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
2	@VirginAmerica com.app.awd.nlp.controllers.View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr
0	@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?
1	@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX--->SEA!!!  🍷👍💺✈️
1	@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
1	@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
2	@VirginAmerica I'm #elevategold for a good reason: you rock!!
1	@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
2	@VirginAmerica wow this just blew my mind
1	@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
1	@VirginAmerica @ladygaga @carrieunderwood All were entertaining
1	"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
2	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
1	@VirginAmerica wish you flew out of Atlanta... Soon?
1	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
1	@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
0	@VirginAmerica hi! i'm so excited about your $99 LGA->DAL deal- but i've been trying 2 book since last week & the page never loads. thx!
2	@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
2	@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
1	@VirginAmerica @ladygaga @carrieunderwood - Carrie!
1	@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
1	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
0	@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
1	@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌
